Work Item Type,Title,Description,Tags,Area Path,Iteration Path
Epic,Portal de servicios internos basado en datos,"Iniciativa principal para la demo de Desarrollo Potenciado por Datos.","demo;datos;estrategico","DESARROLLO-CON-DATOS\Producto","DESARROLLO-CON-DATOS\Release 1"
Feature,Consulta y seguimiento de solicitudes,"Capacidad para listar, filtrar y consultar solicitudes operativas.","demo;backlog;producto","DESARROLLO-CON-DATOS\Producto","DESARROLLO-CON-DATOS\Release 1\Sprint 1 - Desarrollo"
Feature,Alertas y visibilidad operativa,"Capacidad para identificar riesgo operativo y resumirlo de forma ejecutiva.","demo;riesgo;visibilidad","DESARROLLO-CON-DATOS\Producto","DESARROLLO-CON-DATOS\Release 1\Sprint 1 - Desarrollo"
User Story,Como analista quiero consultar solicitudes activas para priorizar atencion,"Historia para mostrar listado y consulta de solicitudes activas.","demo;historia;consulta","DESARROLLO-CON-DATOS\Backend","DESARROLLO-CON-DATOS\Release 1\Sprint 1 - Desarrollo"
User Story,Como coordinador quiero ver solicitudes en riesgo para anticipar bloqueos,"Historia para mostrar lectura de riesgo y visibilidad operativa.","demo;historia;riesgo","DESARROLLO-CON-DATOS\Producto","DESARROLLO-CON-DATOS\Release 1\Sprint 1 - Desarrollo"
User Story,Como usuario quiero ver el detalle de una solicitud con su estado actual,"Historia para mostrar detalle funcional y navegacion del flujo.","demo;historia;detalle","DESARROLLO-CON-DATOS\Frontend","DESARROLLO-CON-DATOS\Release 1\Sprint 1 - Desarrollo"
User Story,Como lider quiero contar con un resumen ejecutivo del estado operativo,"Historia para mostrar salida gerencial y lectura de datos accionables.","demo;historia;ejecutivo","DESARROLLO-CON-DATOS\Producto","DESARROLLO-CON-DATOS\Release 1\Sprint 1 - Desarrollo"
Task,Crear endpoint para listar solicitudes,"Exponer API basica para consulta de solicitudes activas.","demo;task;api","DESARROLLO-CON-DATOS\Backend","DESARROLLO-CON-DATOS\Release 1\Sprint 1 - Desarrollo"
Task,Agregar filtro por estado y prioridad,"Agregar parametros de filtrado para priorizar solicitudes.","demo;task;filtro","DESARROLLO-CON-DATOS\Backend","DESARROLLO-CON-DATOS\Release 1\Sprint 1 - Desarrollo"
Task,Construir vista web de consulta,"Crear pantalla basica para listar solicitudes.","demo;task;ui","DESARROLLO-CON-DATOS\Frontend","DESARROLLO-CON-DATOS\Release 1\Sprint 1 - Desarrollo"
Task,Crear servicio de resumen de riesgo,"Agregar logica para consolidar riesgo operativo.","demo;task;riesgo","DESARROLLO-CON-DATOS\Backend","DESARROLLO-CON-DATOS\Release 1\Sprint 1 - Desarrollo"
Task,Agregar pruebas unitarias del endpoint,"Agregar pruebas unitarias sobre consulta y filtrado.","demo;task;test","DESARROLLO-CON-DATOS\QA","DESARROLLO-CON-DATOS\Release 1\Sprint 1 - Desarrollo"
Task,Documentar flujo principal,"Documentar flujo principal de consulta y resumen.","demo;task;docs","DESARROLLO-CON-DATOS\Producto","DESARROLLO-CON-DATOS\Release 1\Sprint 1 - Desarrollo"
Bug,Error al filtrar solicitudes por prioridad alta,"Defecto controlado para demo de bug y correccion.","demo;bug;prioridad","DESARROLLO-CON-DATOS\Backend","DESARROLLO-CON-DATOS\Release 1\Sprint 1 - Desarrollo"
Bug,La vista de detalle no muestra el estado actualizado,"Defecto controlado para demo de seguimiento y PR.","demo;bug;detalle","DESARROLLO-CON-DATOS\Frontend","DESARROLLO-CON-DATOS\Release 1\Sprint 1 - Desarrollo"
